name,type,loc,website,open_time,address,number,reviews,star_rating
Arabian Nights Restaurant,Parks,"San Francisco, CA",http://arabiannightssf.com,5:00 PM - 10:00 PM,"2345 Mission St San Francisco, CA 94110",(415) 648-1444,733,4 star rating
Kitchen Story,Parks,"San Francisco, CA",http://kitchenstorysf.com,9:00 AM - 2:00 PM,"3499 16th St San Francisco, CA 94114",(415) 525-4905,3645,4 star rating
Good Good Culture Club,Parks,"San Francisco, CA",http://ggccsf.com,5:00 PM - 9:00 PM,"3560 18th St San Francisco, CA 94110",,20,5 star rating
Dumpling House,Parks,"San Francisco, CA",http://dumplinghouse-sf.com,"11:00 AM - 2:30 PM, 5:00 PM - 9:00 PM","335 Noe St San Francisco, CA 94114",(415) 829-2789,276,4.5 star rating
Beretta,Parks,"San Francisco, CA",http://berettasf.com,5:00 PM - 10:00 PM,"1199 Valencia St San Francisco, CA 94110",(415) 695-1199,3877,4 star rating
Chic n' Time,Parks,"San Francisco, CA",http://www.chicntimesf.com,12:00 PM - 8:30 PM,"807 Valencia St San Francisco, CA 94110",(415) 874-9757,115,5 star rating
LUNA,Parks,"San Francisco, CA",http://www.lunasf.com,12:00 PM - 10:00 PM,"694 Valencia St San Francisco, CA 94110",(415) 737-0908,69,4 star rating
Bao,Parks,"San Francisco, CA",,"11:30 AM - 2:30 PM, 5:30 PM - 9:30 PM","590 Valencia St San Francisco, CA 94110",(415) 658-7453,123,4.5 star rating
Beit Rima,Parks,"San Francisco, CA",http://www.beitrimasf.com,11:00 AM - 8:30 PM,"138 Church St San Francisco, CA 94114",(415) 703-0270,492,4.5 star rating
Farmhouse Kitchen Thai Cuisine,Parks,"San Francisco, CA",http://www.farmhousethai.com,"11:00 AM - 2:00 PM, 5:00 PM - 10:00 PM","710 Florida St San Francisco, CA 94110",(415) 814-2920,3045,4 star rating
Valencia Pizza & Pasta,Bars,"San Francisco, CA",http://valenciapizzapasta.com,10:30 AM - 8:30 PM,"801 Valencia St San Francisco, CA 94110",(415) 642-1882,438,4 star rating
Arabian Nights Restaurant,Bars,"San Francisco, CA",http://arabiannightssf.com,5:00 PM - 10:00 PM,"2345 Mission St San Francisco, CA 94110",(415) 648-1444,733,4 star rating
Kitchen Story,Bars,"San Francisco, CA",http://kitchenstorysf.com,9:00 AM - 2:00 PM,"3499 16th St San Francisco, CA 94114",(415) 525-4905,3645,4 star rating
Good Good Culture Club,Bars,"San Francisco, CA",http://ggccsf.com,5:00 PM - 9:00 PM,"3560 18th St San Francisco, CA 94110",,20,5 star rating
Loló,Bars,"San Francisco, CA",http://www.lolosf.com/,5:00 PM - 9:30 PM,"974 Valencia St San Francisco, CA 94110",(415) 643-5656,2299,4 star rating
Dumpling House,Bars,"San Francisco, CA",http://dumplinghouse-sf.com,"11:00 AM - 2:30 PM, 5:00 PM - 9:00 PM","335 Noe St San Francisco, CA 94114",(415) 829-2789,276,4.5 star rating
Beretta,Bars,"San Francisco, CA",http://berettasf.com,5:00 PM - 10:00 PM,"1199 Valencia St San Francisco, CA 94110",(415) 695-1199,3877,4 star rating
Chic n' Time,Bars,"San Francisco, CA",http://www.chicntimesf.com,12:00 PM - 8:30 PM,"807 Valencia St San Francisco, CA 94110",(415) 874-9757,115,5 star rating
LUNA,Bars,"San Francisco, CA",http://www.lunasf.com,12:00 PM - 10:00 PM,"694 Valencia St San Francisco, CA 94110",(415) 737-0908,69,4 star rating
Bao,Bars,"San Francisco, CA",,"11:30 AM - 2:30 PM, 5:30 PM - 9:30 PM","590 Valencia St San Francisco, CA 94110",(415) 658-7453,123,4.5 star rating
Beit Rima,Bars,"San Francisco, CA",http://www.beitrimasf.com,11:00 AM - 8:30 PM,"138 Church St San Francisco, CA 94114",(415) 703-0270,492,4.5 star rating
Farmhouse Kitchen Thai Cuisine,Bars,"San Francisco, CA",http://www.farmhousethai.com,"11:00 AM - 2:00 PM, 5:00 PM - 10:00 PM","710 Florida St San Francisco, CA 94110",(415) 814-2920,3045,4 star rating
Tandoori Momo Hub,Bars,"San Francisco, CA",,"11:00 AM - 2:30 PM, 5:00 PM - 9:00 PM","1655 Market St San Francisco, CA 94103",,4,3 star rating
KFC,Karaoke,"San Francisco, CA",https://www.kfc.com,10:00 AM - 10:00 PM,"200 Duboce Ave San Francisco, CA 94103",(415) 431-1613,32,2 star rating
Arabian Nights Restaurant,Karaoke,"San Francisco, CA",http://arabiannightssf.com,5:00 PM - 10:00 PM,"2345 Mission St San Francisco, CA 94110",(415) 648-1444,733,4 star rating
Kitchen Story,Karaoke,"San Francisco, CA",http://kitchenstorysf.com,9:00 AM - 2:00 PM,"3499 16th St San Francisco, CA 94114",(415) 525-4905,3645,4 star rating
Good Good Culture Club,Karaoke,"San Francisco, CA",http://ggccsf.com,5:00 PM - 9:00 PM,"3560 18th St San Francisco, CA 94110",,20,5 star rating
Loló,Karaoke,"San Francisco, CA",http://www.lolosf.com/,5:00 PM - 9:30 PM,"974 Valencia St San Francisco, CA 94110",(415) 643-5656,2299,4 star rating
Dumpling House,Karaoke,"San Francisco, CA",http://dumplinghouse-sf.com,"11:00 AM - 2:30 PM, 5:00 PM - 9:00 PM","335 Noe St San Francisco, CA 94114",(415) 829-2789,276,4.5 star rating
Beretta,Karaoke,"San Francisco, CA",http://berettasf.com,5:00 PM - 10:00 PM,"1199 Valencia St San Francisco, CA 94110",(415) 695-1199,3877,4 star rating
Chic n' Time,Karaoke,"San Francisco, CA",http://www.chicntimesf.com,12:00 PM - 8:30 PM,"807 Valencia St San Francisco, CA 94110",(415) 874-9757,115,5 star rating
LUNA,Karaoke,"San Francisco, CA",http://www.lunasf.com,12:00 PM - 10:00 PM,"694 Valencia St San Francisco, CA 94110",(415) 737-0908,69,4 star rating
Beit Rima,Karaoke,"San Francisco, CA",http://www.beitrimasf.com,11:00 AM - 8:30 PM,"138 Church St San Francisco, CA 94114",(415) 703-0270,492,4.5 star rating
Bao,Karaoke,"San Francisco, CA",,"11:30 AM - 2:30 PM, 5:30 PM - 9:30 PM","590 Valencia St San Francisco, CA 94110",(415) 658-7453,123,4.5 star rating
Farmhouse Kitchen Thai Cuisine,Karaoke,"San Francisco, CA",http://www.farmhousethai.com,"11:00 AM - 2:00 PM, 5:00 PM - 10:00 PM","710 Florida St San Francisco, CA 94110",(415) 814-2920,3045,4 star rating
Valencia Pizza & Pasta,Karaoke,"San Francisco, CA",http://valenciapizzapasta.com,10:30 AM - 8:30 PM,"801 Valencia St San Francisco, CA 94110",(415) 642-1882,438,4 star rating
Pier 39,Malls,"San Francisco, CA",http://www.pier39.com,11:00 AM - 8:00 PM,"The Embarcadero And Beach St San Francisco, CA 94133",(415) 981-7437,1405,4 star rating
T-Mobile,Malls,"San Francisco, CA",https://www.t-mobile.com/store…,10:00 AM - 8:00 PM,"1655 Bryant St Ste 190 San Francisco, CA 94103",(415) 552-5845,10,2 star rating
Westfield San Francisco Centre,Malls,"San Francisco, CA",http://www.westfield.com,10:00 AM - 7:00 PM,"865 Market St San Francisco, CA 94103",(415) 512-6776,1037,3.5 star rating
Stonestown Galleria,Malls,"San Francisco, CA",http://www.stonestowngalleria.…,11:00 AM - 8:00 PM,"3251 20th Ave San Francisco, CA 94132",(415) 564-8848,534,3 star rating
Japan Center,Malls,"San Francisco, CA",http://japancentersf.com/,7:00 AM - 12:00 AM (Next day),"1737 Post St San Francisco, CA 94115",(415) 440-1171,150,4 star rating
Union Square,Malls,"San Francisco, CA",http://unionsquareshop.com/,,"333 Post St San Francisco, CA 94108",(415) 477-2610,50,4 star rating
Serramonte Shopping Center,Malls,"San Francisco, CA",http://www.serramontecenter.co…,10:00 AM - 8:00 PM,"Hwy 280 & Serramonte Blvd Daly City, CA 94015",(650) 992-8686,318,3 star rating
Kintetsu Mall,Malls,"San Francisco, CA",,10:00 AM - 6:00 PM,"1737 Post St San Francisco, CA 94115",(415) 440-1171,53,4 star rating
Diamond Heights Shopping Center,Malls,"San Francisco, CA",http://diamondheightsshoppingc…,,"5214 Diamond Heights Blvd San Francisco, CA 94131",(415) 282-4647,13,4 star rating
Metreon,Malls,"San Francisco, CA",http://www.shoppingmetreon.com,11:00 AM - 8:30 PM,"135 4th St San Francisco, CA 94103",(415) 369-6000,181,3.5 star rating
Laurel Village Shopping Center,Malls,"San Francisco, CA",,,"3500 California St San Francisco, CA 94118",,18,4 star rating
Pier 39,Amusement Parks,"San Francisco, CA",http://www.pier39.com,11:00 AM - 8:00 PM,"The Embarcadero And Beach St San Francisco, CA 94133",(415) 981-7437,1405,4 star rating
T-Mobile,Amusement Parks,"San Francisco, CA",https://www.t-mobile.com/store…,10:00 AM - 5:00 PM,"One Embarcadero Ctr Ste R1114 San Francisco, CA 94111",(415) 788-2670,42,3.5 star rating
Westfield San Francisco Centre,Amusement Parks,"San Francisco, CA",http://www.westfield.com,10:00 AM - 7:00 PM,"865 Market St San Francisco, CA 94103",(415) 512-6776,1037,3.5 star rating
Union Square,Amusement Parks,"San Francisco, CA",http://unionsquareshop.com/,,"333 Post St San Francisco, CA 94108",(415) 477-2610,50,4 star rating
Northpoint Centre,Amusement Parks,"San Francisco, CA",,,"350 Bay St San Francisco, CA 94133",,19,3.5 star rating
Ghirardelli Square,Amusement Parks,"San Francisco, CA",http://www.ghirardellisq.com,11:00 AM - 11:00 PM,"900 N Point St San Francisco, CA 94109",(415) 775-5500,1007,4 star rating
Crocker Galleria,Amusement Parks,"San Francisco, CA",,10:00 AM - 6:00 PM,"50 Post St San Francisco, CA 94104",(415) 393-1505,93,3.5 star rating
Japan Center,Amusement Parks,"San Francisco, CA",http://japancentersf.com/,7:00 AM - 12:00 AM (Next day),"1737 Post St San Francisco, CA 94115",(415) 440-1171,150,4 star rating
Metreon,Amusement Parks,"San Francisco, CA",http://www.shoppingmetreon.com,11:00 AM - 8:30 PM,"135 4th St San Francisco, CA 94103",(415) 369-6000,181,3.5 star rating
Embarcadero Center,Amusement Parks,"San Francisco, CA",http://www.embarcaderocenter.c…,10:00 AM - 7:00 PM,"1 Embarcadero Ctr San Francisco, CA 94111",(415) 772-0700,91,3.5 star rating
Nordstrom,Amusement Parks,"San Francisco, CA",https://shop.nordstrom.com,10:00 AM - 7:00 PM,"865 Market St San Francisco, CA 94103",(415) 243-8500,925,4 star rating
Pier 39,Water Parks,"San Francisco, CA",http://www.pier39.com,11:00 AM - 8:00 PM,"The Embarcadero And Beach St San Francisco, CA 94133",(415) 981-7437,1405,4 star rating
T-Mobile,Water Parks,"San Francisco, CA",https://www.t-mobile.com/store…,10:00 AM - 5:00 PM,"One Embarcadero Ctr Ste R1114 San Francisco, CA 94111",(415) 788-2670,42,3.5 star rating
Westfield San Francisco Centre,Water Parks,"San Francisco, CA",http://www.westfield.com,10:00 AM - 7:00 PM,"865 Market St San Francisco, CA 94103",(415) 512-6776,1037,3.5 star rating
Union Square,Water Parks,"San Francisco, CA",http://unionsquareshop.com/,,"333 Post St San Francisco, CA 94108",(415) 477-2610,50,4 star rating
Northpoint Centre,Water Parks,"San Francisco, CA",,,"350 Bay St San Francisco, CA 94133",,19,3.5 star rating
Ghirardelli Square,Water Parks,"San Francisco, CA",http://www.ghirardellisq.com,11:00 AM - 11:00 PM,"900 N Point St San Francisco, CA 94109",(415) 775-5500,1007,4 star rating
Crocker Galleria,Water Parks,"San Francisco, CA",,10:00 AM - 6:00 PM,"50 Post St San Francisco, CA 94104",(415) 393-1505,93,3.5 star rating
Japan Center,Water Parks,"San Francisco, CA",http://japancentersf.com/,7:00 AM - 12:00 AM (Next day),"1737 Post St San Francisco, CA 94115",(415) 440-1171,150,4 star rating
Metreon,Water Parks,"San Francisco, CA",http://www.shoppingmetreon.com,11:00 AM - 8:30 PM,"135 4th St San Francisco, CA 94103",(415) 369-6000,181,3.5 star rating
Nordstrom,Water Parks,"San Francisco, CA",https://shop.nordstrom.com,10:00 AM - 7:00 PM,"865 Market St San Francisco, CA 94103",(415) 243-8500,925,4 star rating
Embarcadero Center,Water Parks,"San Francisco, CA",http://www.embarcaderocenter.c…,10:00 AM - 7:00 PM,"1 Embarcadero Ctr San Francisco, CA 94111",(415) 772-0700,91,3.5 star rating
Pier 39,Landmarks & Historical Buildings,"San Francisco, CA",http://www.pier39.com,11:00 AM - 8:00 PM,"The Embarcadero And Beach St San Francisco, CA 94133",(415) 981-7437,1405,4 star rating
T-Mobile,Landmarks & Historical Buildings,"San Francisco, CA",https://www.t-mobile.com/store…,10:00 AM - 5:00 PM,"One Embarcadero Ctr Ste R1114 San Francisco, CA 94111",(415) 788-2670,42,3.5 star rating
Westfield San Francisco Centre,Landmarks & Historical Buildings,"San Francisco, CA",http://www.westfield.com,10:00 AM - 7:00 PM,"865 Market St San Francisco, CA 94103",(415) 512-6776,1037,3.5 star rating
Union Square,Landmarks & Historical Buildings,"San Francisco, CA",http://unionsquareshop.com/,,"333 Post St San Francisco, CA 94108",(415) 477-2610,50,4 star rating
Northpoint Centre,Landmarks & Historical Buildings,"San Francisco, CA",,,"350 Bay St San Francisco, CA 94133",,19,3.5 star rating
Ghirardelli Square,Landmarks & Historical Buildings,"San Francisco, CA",http://www.ghirardellisq.com,11:00 AM - 11:00 PM,"900 N Point St San Francisco, CA 94109",(415) 775-5500,1007,4 star rating
Crocker Galleria,Landmarks & Historical Buildings,"San Francisco, CA",,10:00 AM - 6:00 PM,"50 Post St San Francisco, CA 94104",(415) 393-1505,93,3.5 star rating
Japan Center,Landmarks & Historical Buildings,"San Francisco, CA",http://japancentersf.com/,7:00 AM - 12:00 AM (Next day),"1737 Post St San Francisco, CA 94115",(415) 440-1171,150,4 star rating
Metreon,Landmarks & Historical Buildings,"San Francisco, CA",http://www.shoppingmetreon.com,11:00 AM - 8:30 PM,"135 4th St San Francisco, CA 94103",(415) 369-6000,181,3.5 star rating
Embarcadero Center,Landmarks & Historical Buildings,"San Francisco, CA",http://www.embarcaderocenter.c…,10:00 AM - 7:00 PM,"1 Embarcadero Ctr San Francisco, CA 94111",(415) 772-0700,91,3.5 star rating
Nordstrom,Landmarks & Historical Buildings,"San Francisco, CA",https://shop.nordstrom.com,10:00 AM - 7:00 PM,"865 Market St San Francisco, CA 94103",(415) 243-8500,925,4 star rating
Pier 39,Museum,"San Francisco, CA",http://www.pier39.com,11:00 AM - 8:00 PM,"The Embarcadero And Beach St San Francisco, CA 94133",(415) 981-7437,1405,4 star rating
Westfield San Francisco Centre,Museum,"San Francisco, CA",http://www.westfield.com,10:00 AM - 7:00 PM,"865 Market St San Francisco, CA 94103",(415) 512-6776,1037,3.5 star rating
Union Square,Museum,"San Francisco, CA",http://unionsquareshop.com/,,"333 Post St San Francisco, CA 94108",(415) 477-2610,50,4 star rating
Northpoint Centre,Museum,"San Francisco, CA",,,"350 Bay St San Francisco, CA 94133",,19,3.5 star rating
Ghirardelli Square,Museum,"San Francisco, CA",http://www.ghirardellisq.com,11:00 AM - 11:00 PM,"900 N Point St San Francisco, CA 94109",(415) 775-5500,1007,4 star rating
Crocker Galleria,Museum,"San Francisco, CA",,10:00 AM - 6:00 PM,"50 Post St San Francisco, CA 94104",(415) 393-1505,93,3.5 star rating
Japan Center,Museum,"San Francisco, CA",http://japancentersf.com/,7:00 AM - 12:00 AM (Next day),"1737 Post St San Francisco, CA 94115",(415) 440-1171,150,4 star rating
Metreon,Museum,"San Francisco, CA",http://www.shoppingmetreon.com,11:00 AM - 8:30 PM,"135 4th St San Francisco, CA 94103",(415) 369-6000,181,3.5 star rating
Nordstrom,Museum,"San Francisco, CA",https://shop.nordstrom.com,10:00 AM - 7:00 PM,"865 Market St San Francisco, CA 94103",(415) 243-8500,925,4 star rating
Embarcadero Center,Museum,"San Francisco, CA",http://www.embarcaderocenter.c…,10:00 AM - 7:00 PM,"1 Embarcadero Ctr San Francisco, CA 94111",(415) 772-0700,91,3.5 star rating
Pier 39,Monuments,"San Francisco, CA",http://www.pier39.com,11:00 AM - 8:00 PM,"The Embarcadero And Beach St San Francisco, CA 94133",(415) 981-7437,1405,4 star rating
T-Mobile,Monuments,"San Francisco, CA",https://www.t-mobile.com/store…,10:00 AM - 5:00 PM,"One Embarcadero Ctr Ste R1114 San Francisco, CA 94111",(415) 788-2670,42,3.5 star rating
Westfield San Francisco Centre,Monuments,"San Francisco, CA",http://www.westfield.com,10:00 AM - 7:00 PM,"865 Market St San Francisco, CA 94103",(415) 512-6776,1037,3.5 star rating
Union Square,Monuments,"San Francisco, CA",http://unionsquareshop.com/,,"333 Post St San Francisco, CA 94108",(415) 477-2610,50,4 star rating
Northpoint Centre,Monuments,"San Francisco, CA",,,"350 Bay St San Francisco, CA 94133",,19,3.5 star rating
Ghirardelli Square,Monuments,"San Francisco, CA",http://www.ghirardellisq.com,11:00 AM - 11:00 PM,"900 N Point St San Francisco, CA 94109",(415) 775-5500,1007,4 star rating
Crocker Galleria,Monuments,"San Francisco, CA",,10:00 AM - 6:00 PM,"50 Post St San Francisco, CA 94104",(415) 393-1505,93,3.5 star rating
Japan Center,Monuments,"San Francisco, CA",http://japancentersf.com/,7:00 AM - 12:00 AM (Next day),"1737 Post St San Francisco, CA 94115",(415) 440-1171,150,4 star rating
Metreon,Monuments,"San Francisco, CA",http://www.shoppingmetreon.com,11:00 AM - 8:30 PM,"135 4th St San Francisco, CA 94103",(415) 369-6000,181,3.5 star rating
Embarcadero Center,Monuments,"San Francisco, CA",http://www.embarcaderocenter.c…,10:00 AM - 7:00 PM,"1 Embarcadero Ctr San Francisco, CA 94111",(415) 772-0700,91,3.5 star rating
Pier 39,Temples,"San Francisco, CA",http://www.pier39.com,11:00 AM - 8:00 PM,"The Embarcadero And Beach St San Francisco, CA 94133",(415) 981-7437,1405,4 star rating
T-Mobile,Temples,"San Francisco, CA",https://www.t-mobile.com/store…,10:00 AM - 5:00 PM,"One Embarcadero Ctr Ste R1114 San Francisco, CA 94111",(415) 788-2670,42,3.5 star rating
Westfield San Francisco Centre,Temples,"San Francisco, CA",http://www.westfield.com,10:00 AM - 7:00 PM,"865 Market St San Francisco, CA 94103",(415) 512-6776,1037,3.5 star rating
Union Square,Temples,"San Francisco, CA",http://unionsquareshop.com/,,"333 Post St San Francisco, CA 94108",(415) 477-2610,50,4 star rating
Northpoint Centre,Temples,"San Francisco, CA",,,"350 Bay St San Francisco, CA 94133",,19,3.5 star rating
Ghirardelli Square,Temples,"San Francisco, CA",http://www.ghirardellisq.com,11:00 AM - 11:00 PM,"900 N Point St San Francisco, CA 94109",(415) 775-5500,1007,4 star rating
Crocker Galleria,Temples,"San Francisco, CA",,10:00 AM - 6:00 PM,"50 Post St San Francisco, CA 94104",(415) 393-1505,93,3.5 star rating
Japan Center,Temples,"San Francisco, CA",http://japancentersf.com/,7:00 AM - 12:00 AM (Next day),"1737 Post St San Francisco, CA 94115",(415) 440-1171,150,4 star rating
Metreon,Temples,"San Francisco, CA",http://www.shoppingmetreon.com,11:00 AM - 8:30 PM,"135 4th St San Francisco, CA 94103",(415) 369-6000,181,3.5 star rating
Nordstrom,Temples,"San Francisco, CA",https://shop.nordstrom.com,10:00 AM - 7:00 PM,"865 Market St San Francisco, CA 94103",(415) 243-8500,925,4 star rating
Pier 39,Zoos,"San Francisco, CA",http://www.pier39.com,11:00 AM - 8:00 PM,"The Embarcadero And Beach St San Francisco, CA 94133",(415) 981-7437,1405,4 star rating
T-Mobile,Zoos,"San Francisco, CA",https://www.t-mobile.com/store…,10:00 AM - 5:00 PM,"One Embarcadero Ctr Ste R1114 San Francisco, CA 94111",(415) 788-2670,42,3.5 star rating
Westfield San Francisco Centre,Zoos,"San Francisco, CA",http://www.westfield.com,10:00 AM - 7:00 PM,"865 Market St San Francisco, CA 94103",(415) 512-6776,1037,3.5 star rating
Union Square,Zoos,"San Francisco, CA",http://unionsquareshop.com/,,"333 Post St San Francisco, CA 94108",(415) 477-2610,50,4 star rating
Northpoint Centre,Zoos,"San Francisco, CA",,,"350 Bay St San Francisco, CA 94133",,19,3.5 star rating
Ghirardelli Square,Zoos,"San Francisco, CA",http://www.ghirardellisq.com,11:00 AM - 11:00 PM,"900 N Point St San Francisco, CA 94109",(415) 775-5500,1007,4 star rating
Crocker Galleria,Zoos,"San Francisco, CA",,10:00 AM - 6:00 PM,"50 Post St San Francisco, CA 94104",(415) 393-1505,93,3.5 star rating
Japan Center,Zoos,"San Francisco, CA",http://japancentersf.com/,7:00 AM - 12:00 AM (Next day),"1737 Post St San Francisco, CA 94115",(415) 440-1171,150,4 star rating
Metreon,Zoos,"San Francisco, CA",http://www.shoppingmetreon.com,11:00 AM - 8:30 PM,"135 4th St San Francisco, CA 94103",(415) 369-6000,181,3.5 star rating
Embarcadero Center,Zoos,"San Francisco, CA",http://www.embarcaderocenter.c…,10:00 AM - 7:00 PM,"1 Embarcadero Ctr San Francisco, CA 94111",(415) 772-0700,91,3.5 star rating
Nordstrom,Zoos,"San Francisco, CA",https://shop.nordstrom.com,10:00 AM - 7:00 PM,"865 Market St San Francisco, CA 94103",(415) 243-8500,925,4 star rating
Pier 39,Aquariums,"San Francisco, CA",http://www.pier39.com,11:00 AM - 8:00 PM,"The Embarcadero And Beach St San Francisco, CA 94133",(415) 981-7437,1405,4 star rating
T-Mobile,Aquariums,"San Francisco, CA",https://www.t-mobile.com/store…,10:00 AM - 5:00 PM,"One Embarcadero Ctr Ste R1114 San Francisco, CA 94111",(415) 788-2670,42,3.5 star rating
Westfield San Francisco Centre,Aquariums,"San Francisco, CA",http://www.westfield.com,10:00 AM - 7:00 PM,"865 Market St San Francisco, CA 94103",(415) 512-6776,1037,3.5 star rating
Union Square,Aquariums,"San Francisco, CA",http://unionsquareshop.com/,,"333 Post St San Francisco, CA 94108",(415) 477-2610,50,4 star rating
Northpoint Centre,Aquariums,"San Francisco, CA",,,"350 Bay St San Francisco, CA 94133",,19,3.5 star rating
Ghirardelli Square,Aquariums,"San Francisco, CA",http://www.ghirardellisq.com,11:00 AM - 11:00 PM,"900 N Point St San Francisco, CA 94109",(415) 775-5500,1007,4 star rating
Crocker Galleria,Aquariums,"San Francisco, CA",,10:00 AM - 6:00 PM,"50 Post St San Francisco, CA 94104",(415) 393-1505,93,3.5 star rating
Japan Center,Aquariums,"San Francisco, CA",http://japancentersf.com/,7:00 AM - 12:00 AM (Next day),"1737 Post St San Francisco, CA 94115",(415) 440-1171,150,4 star rating
Metreon,Aquariums,"San Francisco, CA",http://www.shoppingmetreon.com,11:00 AM - 8:30 PM,"135 4th St San Francisco, CA 94103",(415) 369-6000,181,3.5 star rating
Nordstrom,Aquariums,"San Francisco, CA",https://shop.nordstrom.com,10:00 AM - 7:00 PM,"865 Market St San Francisco, CA 94103",(415) 243-8500,925,4 star rating
Embarcadero Center,Aquariums,"San Francisco, CA",http://www.embarcaderocenter.c…,10:00 AM - 7:00 PM,"1 Embarcadero Ctr San Francisco, CA 94111",(415) 772-0700,91,3.5 star rating
Pier 39,Art Galleries,"San Francisco, CA",http://www.pier39.com,11:00 AM - 8:00 PM,"The Embarcadero And Beach St San Francisco, CA 94133",(415) 981-7437,1405,4 star rating
T-Mobile,Art Galleries,"San Francisco, CA",https://www.t-mobile.com/store…,10:00 AM - 5:00 PM,"One Embarcadero Ctr Ste R1114 San Francisco, CA 94111",(415) 788-2670,42,3.5 star rating
Westfield San Francisco Centre,Art Galleries,"San Francisco, CA",http://www.westfield.com,10:00 AM - 7:00 PM,"865 Market St San Francisco, CA 94103",(415) 512-6776,1037,3.5 star rating
Union Square,Art Galleries,"San Francisco, CA",http://unionsquareshop.com/,,"333 Post St San Francisco, CA 94108",(415) 477-2610,50,4 star rating
Northpoint Centre,Art Galleries,"San Francisco, CA",,,"350 Bay St San Francisco, CA 94133",,19,3.5 star rating
Ghirardelli Square,Art Galleries,"San Francisco, CA",http://www.ghirardellisq.com,11:00 AM - 11:00 PM,"900 N Point St San Francisco, CA 94109",(415) 775-5500,1007,4 star rating
Crocker Galleria,Art Galleries,"San Francisco, CA",,10:00 AM - 6:00 PM,"50 Post St San Francisco, CA 94104",(415) 393-1505,93,3.5 star rating
Japan Center,Art Galleries,"San Francisco, CA",http://japancentersf.com/,7:00 AM - 12:00 AM (Next day),"1737 Post St San Francisco, CA 94115",(415) 440-1171,150,4 star rating
Metreon,Art Galleries,"San Francisco, CA",http://www.shoppingmetreon.com,11:00 AM - 8:30 PM,"135 4th St San Francisco, CA 94103",(415) 369-6000,181,3.5 star rating
Embarcadero Center,Art Galleries,"San Francisco, CA",http://www.embarcaderocenter.c…,10:00 AM - 7:00 PM,"1 Embarcadero Ctr San Francisco, CA 94111",(415) 772-0700,91,3.5 star rating
Nordstrom,Art Galleries,"San Francisco, CA",https://shop.nordstrom.com,10:00 AM - 7:00 PM,"865 Market St San Francisco, CA 94103",(415) 243-8500,925,4 star rating
Pier 39,Tourist Attractions,"San Francisco, CA",http://www.pier39.com,11:00 AM - 8:00 PM,"The Embarcadero And Beach St San Francisco, CA 94133",(415) 981-7437,1405,4 star rating
T-Mobile,Tourist Attractions,"San Francisco, CA",https://www.t-mobile.com/store…,10:00 AM - 5:00 PM,"One Embarcadero Ctr Ste R1114 San Francisco, CA 94111",(415) 788-2670,42,3.5 star rating
Westfield San Francisco Centre,Tourist Attractions,"San Francisco, CA",http://www.westfield.com,10:00 AM - 7:00 PM,"865 Market St San Francisco, CA 94103",(415) 512-6776,1037,3.5 star rating
Union Square,Tourist Attractions,"San Francisco, CA",http://unionsquareshop.com/,,"333 Post St San Francisco, CA 94108",(415) 477-2610,50,4 star rating
Northpoint Centre,Tourist Attractions,"San Francisco, CA",,,"350 Bay St San Francisco, CA 94133",,19,3.5 star rating
Ghirardelli Square,Tourist Attractions,"San Francisco, CA",http://www.ghirardellisq.com,11:00 AM - 11:00 PM,"900 N Point St San Francisco, CA 94109",(415) 775-5500,1007,4 star rating
Crocker Galleria,Tourist Attractions,"San Francisco, CA",,10:00 AM - 6:00 PM,"50 Post St San Francisco, CA 94104",(415) 393-1505,93,3.5 star rating
Japan Center,Tourist Attractions,"San Francisco, CA",http://japancentersf.com/,7:00 AM - 12:00 AM (Next day),"1737 Post St San Francisco, CA 94115",(415) 440-1171,150,4 star rating
Metreon,Tourist Attractions,"San Francisco, CA",http://www.shoppingmetreon.com,11:00 AM - 8:30 PM,"135 4th St San Francisco, CA 94103",(415) 369-6000,181,3.5 star rating
Embarcadero Center,Tourist Attractions,"San Francisco, CA",http://www.embarcaderocenter.c…,10:00 AM - 7:00 PM,"1 Embarcadero Ctr San Francisco, CA 94111",(415) 772-0700,91,3.5 star rating
Nordstrom,Tourist Attractions,"San Francisco, CA",https://shop.nordstrom.com,10:00 AM - 7:00 PM,"865 Market St San Francisco, CA 94103",(415) 243-8500,925,4 star rating
Jamaica Flaves,Restaurants,"Oakland, CA",http://www.jamaicaflaves.com,11:00 AM - 9:00 PM,"2353 E 12th St Oakland, CA 94601",(510) 988-2800,2,5 star rating
Biryani Kabab,Restaurants,"Oakland, CA",http://thebiryanikabab.com,11:00 AM - 9:30 PM,"377 13th St Oakland, CA 94612",(510) 835-3777,370,4 star rating
Marica,Restaurants,"Oakland, CA",https://www.maricaoakland.com,4:00 PM - 9:00 PM,"5301 College Ave Oakland, CA 94618",(510) 985-8388,2249,4.5 star rating
Limón,Restaurants,"Oakland, CA",https://www.limonrotisserie.co…,11:00 AM - 9:00 PM,"2450 Valdez St Oakland, CA 94612",(510) 808-7324,172,4.5 star rating
Wood Tavern,Restaurants,"Oakland, CA",http://woodtavern.net/,11:30 AM - 9:00 PM,"6317 College Ave Oakland, CA 94618",(510) 654-6607,2034,4.5 star rating
Kitchen Story,Restaurants,"Oakland, CA",https://www.kitchenstoryca.com,"9:00 AM - 2:30 PM, 5:00 PM - 9:00 PM","5422 College Ave Oakland, CA 94618",(510) 922-9443,588,4 star rating
